File,SHA256,ViewBox,Disposition
assets/icons/tabler/outline/mood-tongue-wink-2.svg,2b921e4d9f317cfc5bb748f3a35e49a20196eec6e239d4632c83f8a7227bfcd9,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/mood-tongue-wink.svg,bef510ca2ac49dc6e1f221538bdb40ed4b182ef99c64f65285bd335b9352c421,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/mood-tongue.svg,ab3c7fc23bbd434aa6cb98cc600f898951df6d68a8c0a8d7f6b6a4682c9fe9fb,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/mood-unamused.svg,84cb646e0fdb343aa6710b3016b3f8f5e906f08763a200ff827edbf2932b519e,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/mood-up.svg,b5286798779ff1b8fceb45acbf7bc0abaee65487d471f6aced5ba635c67021aa,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/mood-wink-2.svg,e36a05720a258cdb39cb88ffc56f5f82703ca12a7870a637b838a56b6c041e84,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/mood-wink.svg,6b156fa2d66ecd5eb078965210d590997d1934959b7f1f17d84984787152be94,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/mood-wrrr.svg,25da3a1f7e1d1e1291cc30a583aac528066f1101d98a4c5f04d739960cb0c0a0,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/mood-x.svg,d3c546b3b788bca7218f4e0b9f0799d7a3afde4571c72a3431a265878c5725a9,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/mood-xd.svg,dec38ca4438ca23280f7dbd0f7e60c2079234a1f91e83d5754e97f19301a95bd,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/moon-2.svg,dceef9a29d71e18291230ef3fbd7bc28223740e065d30273271e80ff13baccea,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/moon-off.svg,efc78ef86a40216ac7aa7f1f3ee31abeb412c1a45f646fd285204620e2c80c41,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/moon-stars.svg,c406d4abf85b7138deb8909e71d55316ef63a3268d0320fc30f429b6dc20c2d7,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/moon.svg,d9f45c62c57a099274b1f47a6a39d50b5351829f533031ac0b9959281eebe2fa,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/moped.svg,14cbf3b93daa99bb35f0b22f288643d30360479f599c8fd13eb0a06cf895f5c2,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/motorbike.svg,374077cfc97443aaa6085bda73498c17d0229ddf13046d477e27dfcd7c4cf1be,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/mountain-off.svg,253b1d48f2280e0266509d32093da430cffc40475dfcb816b3a1149f5e3baca0,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/mountain.svg,1452e89dc5be952f5b7a8e456293ef0051ef22ca25cd6cf78e05748a3aa4b944,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/mouse-2.svg,bcba5ec5096176b693380956f9d6f460d3cbb39afcc28d3b31fb7325d80b1634,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/mouse-off.svg,147216c595f496dd5d64502b67c70d56e31d54cef1521948052f2a683e6ce076,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/mouse.svg,9a099f473afc50210bb25195b0ae82ddc9ffc33c7ada7bba90baf7dc35541007,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
