File,SHA256,ViewBox,Disposition
assets/icons/tabler/outline/circle-dashed-percentage.svg,c3f70aa5844f12b3b51daebbf8a61b72900ab00b4a8cfbeccd1e89dafb3fa3f2,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dashed-plus.svg,4868291c9a15ed2ddb40d07d6093b092e58dd4b312864652d63adf987feac6a5,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dashed-x.svg,30e2f0e814a987acc6f5360850d4ae1f65df5f8da9cbed604463bb8360abfbcc,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dashed.svg,c93688c0a4d231e11a19a179bcb6c1fe5ccef500b51cc21262f73381b07773f4,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dot.svg,e365865bc6ab7d043340787ebf1181183d7b2d020f1b9e2a0474f35ba6502e9a,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-a.svg,c5a72a044d8031d56076bb1dda40b30833b60eeb44150e49d6688c55b15e9a9b,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-b.svg,64fb6955c760cdbf50c6d86820bfb4eadc52b55cebb481dc247b732d55707dde,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-c.svg,cdff27f374f8860fa095d83fe85d3fbfcf52d16bcac7a4d79437545fa39baf4d,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-d.svg,689a51211d984bc24a88ed486f2fe3bcb50fc9542b41ebfea02f5a2b1aa840df,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-e.svg,dfb72b39868806f72073b571ec2ae1f19be2aa8f9840caf1e2aee2ab6d30cf4b,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-f.svg,da1378ba24570c76e3d7f03b2128354d9e156a701fa45436f40a522b338bce07,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-g.svg,0b00dd385008c02c15f5ed28e3715ed84754f95027ce8aabdf70ded710433b5c,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-h.svg,c9b814c8bdce1c387146975c11f54aec240ae2828bd93bcbb5d72096b68760a2,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-i.svg,9898a4878d4da207976f7fd33a2e802028a674bc48a61672d1270d03845dd1df,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-j.svg,11a20c438cdcb24b55a2b6a251b7875483413bbaefce86876167af98daf45006,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-k.svg,4ac574fd269b1bed6a2dfd948439a0db9905fe1395e602a1f769c7941ce6461d,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-l.svg,c5cf55db6936392c4a1aea9ce6b4edf8df379d74065b31c1a8ed6503781f9d8f,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-m.svg,b15d334a1e054748422f89f1beab2064f507511202e40fdb8f81b2309c5c6c0f,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-n.svg,197cd40cd91b2c56aae80532165bfd08f6648106e19ecde381987331197fb4e6,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-o.svg,7736b8bf2bfac3bfeb6efc5c106f65ee98847e6b6487c8ef2c7cda3c25179c6d,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-p.svg,a46a772f746c1ded27bb990de329b6a236a3968371cf37975b8c27a99ae19738,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-q.svg,fbb472e914c275dfe5abddb376443943095e5c2e61a9e3c3fc7e0cd5a55b450e,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-r.svg,ba2c978e76fa2da5910ffb5b01cb09626e69c0bfd0f0f0efb38cdd9d526226ca,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-s.svg,62a4f0ed2b0f298cfd1ec6fdf02d50248d1c5d4fc363d668d40333d3e1b9ad55,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-t.svg,a416ecd14f0e00b4fb4b65ec2387cc5313c7afb8429917c5879b51fe0506f43e,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-u.svg,bb27c7a2c7b6cb8f46789a1c5f62f7e3dea007bb066d83aec753ac20fae6cddf,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-v.svg,3e69ca20372e3ff91504966c6b9ff8342a87d32e78feb7a29b9c143a677df0f5,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-w.svg,52c14fe42d53455b8c9b33089448ef1ec0e0e6bb7f777b35e51b34dc6f198d68,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
assets/icons/tabler/outline/circle-dotted-letter-x.svg,656ba0aafb9dcb0990c778693a1e8d31708c0c29e73e5fc4fd308d2f701f9ee8,0 0 24 24,XML VALID — VISUAL REVIEW PENDING
